Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
48474 patients in Cohort 1 and 137931 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
17,0.9977223294728464,0.9975987752626717,0.9978395331289942,0.9963192956784682,0.9962612699983651,0.9963764224295726
18,0.9976604428531914,0.9975352075636027,0.9977793220641346,0.9962141055687767,0.9961552108660537,0.9962720998081057
19,0.9975709349329573,0.9974433056960171,0.9976922003385494,0.9961041608803118,0.9960443697455357,0.9961630499869542
20,0.9975002796971244,0.9973707909482039,0.9976233987160049,0.9959952527061702,0.9959345851545465,0.9960550167195787
21,0.9973984884967967,0.9972663654152273,0.9975242336841026,0.9958613792191114,0.9957996497246115,0.9959222033788097
22,0.997336301269101,0.997202593249429,0.9974636265595258,0.9957624093018123,0.995699904976677,0.9958240069975584
23,0.9972774723939927,0.9971422802382512,0.9974062772407182,0.9956725693742107,0.9956093682717837,0.99573486267616
24,0.9972324287921286,0.997096110128027,0.9973623566526677,0.9955866137937707,0.9955227519594761,0.9956495667178594
25,0.9971751964218363,0.9970374586176819,0.9973065390185584,0.9954949054435913,0.9954303450796834,0.9955585557310467
26,0.9971161675225049,0.9969769801722134,0.9972489551865245,0.9954048338800401,0.9953395937983326,0.9954691627592513
27,0.9970501273544067,0.9969093349569478,0.9971845151445771,0.9953110404064588,0.9952450990231839,0.9953760694347971
28,0.9969631458257241,0.9968202658159717,0.9970996149270892,0.995162315547564,0.9950952757751076,0.995228441191681
29,0.996888257164043,0.9967436027447706,0.9970264953897083,0.9950689717033522,0.9950012506554297,0.9951357775380641
30,0.9968202225680323,0.9966739727651556,0.9969600513860082,0.9949969792627894,0.9949287361463368,0.9950643063231724
31,0.9967748168248289,0.9966275110587157,0.9969156984344433,0.9949078529182782,0.9948389679108708,0.9949758208315241
32,0.9967311177207164,0.9965828020938452,0.9968730061524175,0.9948307070374492,0.9947612704267351,0.994899225663891
33,0.9966768778496172,0.9965273173500186,0.9968200074027085,0.9947586077062185,0.9946886587948167,0.9948276378067292
34,0.9965805512922599,0.9964288038820326,0.9967258612443815,0.9946796723721898,0.994609166133937,0.9947492589017746
35,0.9965104314119932,0.996357110933484,0.9966573098285895,0.9945747000722477,0.9945034585024715,0.9946450207565851
36,0.9964419918104299,0.9962871502784308,0.9965903868514583,0.9944968148998018,0.9944250318453962,0.9945676762054194
37,0.9963839945588571,0.9962278741019275,0.9965336647614941,0.994430206876576,0.9943579630235168,0.9945015282381204
38,0.9963312144849501,0.996173938274504,0.9964820370342031,0.9943585380342012,0.9942858009045082,0.9944303518746982
39,0.9962924746885563,0.996134354974245,0.9964441382498314,0.9942917298757502,0.9942185353710429,0.9943640003522248
40,0.9962343162704346,0.9960749378472303,0.9963872348237411,0.9942224809517455,0.9941488148093738,0.9942952223043985
41,0.9961637630560946,0.9960028700985643,0.9963181917075628,0.9941515733653263,0.9940774268632465,0.9942247943036591
42,0.9960754993359947,0.9959127306787443,0.996231798273891,0.9940596136275824,0.9939848480610579,0.9941334526375829
43,0.9960171864781251,0.9958531895463352,0.9961747101676484,0.9939921817235751,0.9939169648683427,0.9940664712996703
44,0.9959853368598819,0.9958206721500752,0.9961435263817704,0.993928289899959,0.9938526471020311,0.9940030047288764
45,0.995939289234744,0.9957736630820725,0.9960984373782218,0.993872462919319,0.9937964493754856,0.9939475478906334
46,0.9958878833548723,0.99572118971566,0.9960480958479404,0.9938089150919355,0.9937324812169074,0.9938844197088574
47,0.9958417591193455,0.9956741129056053,0.9960029213901654,0.993745815509738,0.9936689660824819,0.9938217350010765
48,0.9957955930231233,0.9956269980758251,0.9959577012322378,0.9936847558427746,0.9936075060093071,0.993761075087578
49,0.9957262911129706,0.995556281192028,0.9958898101481038,0.9936058911541199,0.9935281266706689,0.9936827242118351
50,0.9956729335786431,0.995501841496366,0.9958375316115559,0.9935470588602212,0.9934689121950054,0.9936242734777995
51,0.9956408812121011,0.9954691416765677,0.9958061247823099,0.9934899841160537,0.99341146787642,0.993567567701797
